"ticker","date","close_price","open_price","volume","high_price","low_price","abs_change","pct_change","action","stop_loss","take_profit","signal_strength","limit_order","current_price","rsi","macd","macd_signal","macd_hist","vwap","bol_bands","sma","crsi","klinger","keltner","cmo","reason","time","diff"
"SUNPHARMA","2025-12-11T13:14:32+05:30","1799.6","1797.2","476.0","1799.6","1797.2","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1799.6","100.0","0.3340804019485404","0.10595463710457742","0.22812576484396296","1797.515831636117","[0.0,0.0]","[0.0,0.0]","77.91666666666667","[55.28052177738445,17.309342909948246,37.97117886743621]","[1797.640245454263,1803.0569121209296,1792.2235787875964]","100.0","""macd says BUY, klinger says BUY, crsi says SELL, cmo says SELL, ""","1765439399908","1"
"HCLTECH","2025-12-11T13:14:29+05:30","1669.0","1666.45","487.0","1669.0","1666.3","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1669.0","83.870967741935","0.3901679260250148","0.14043083397945122","0.2497370920455636","1667.138152610442","[0.0,0.0]","[0.0,0.0]","79.60893854748605","[87.90330981622242,28.88709196279825,59.016217853424166]","[1667.2035604653263,1671.8202271319929,1662.5868937986595]","67.74193548387002","""macd says BUY, klinger says BUY, crsi says SELL, cmo says SELL, ""","1765439399908","1"
"ULTRACEMCO","2025-12-11T13:14:44+05:30","11415.25","11415.25","0.0","11415.25","11415.25","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","11415.25","0.0","0.06780626780710008","0.013561253561420015","0.05424501424568007","11418.42520729685","[0.0,0.0]","[0.0,0.0]","23.333333333333332","[5.779808949396092,2.0625438678824324,3.717265081513659]","[11415.765335969898,11425.515335969898,11406.015335969898]","-100.0","""""","1765439399908","1"
"M&M","2025-12-11T13:13:39+05:30","3655.35","3654.6","111.0","3660.0","3653.35","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","3655.35","63.38582677165361","1.2979687806755464","0.5026863394171364","0.7952824412584101","3651.674178403756","[0.0,0.0]","[0.0,0.0]","33.802308802308715","[-9.145600583090442,-2.3607251145356294,-6.784875468554812]","[3653.680611216519,3678.700611216519,3628.66061121652]","26.771653543307227","""macd says BUY, rsi says SELL, klinger says SELL, ""","1765439399908","1"
"ICICIBANK","2025-12-11T13:14:04+05:30","1359.0","1359.05","2071.0","1359.3","1358.0","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1359.0","41.9354838709675","0.290538221878478","0.12800731477216143","0.16253090710631657","1359.139124014766","[0.0,0.0]","[0.0,0.0]","70.10989010988996","[-9.40233536807591,-25.395292495314468,15.992957127238558]","[1359.1913551354387,1362.974688468772,1355.4080218021054]","-16.12903225806499","""macd says BUY, rsi says BUY, klinger says BUY, ""","1765439399908","1"
"WIPRO","2025-12-11T13:13:30+05:30","258.85","258.95","2379.0","259.15","258.75","0.0","0.0","BUY","258.50000000000006","259.375","5.0","258.76250000000005","258.85","25.000000000007105","0.026229378561367863","0.010880279499335758","0.015349099062032108","258.91782061369","[0.0,0.0]","[0.0,0.0]","12.72727272727461","[11.107293367346983,10.733563775510236,0.3737295918367476]","[258.94478458049883,259.6447845804988,258.24478458049884]","-49.99999999998579","""macd says BUY, rsi says BUY, crsi says BUY, klinger says BUY, cmo says BUY, ""","1765439399908","1"
"COALINDIA","2025-12-11T13:13:45+05:30","384.5","384.2","897.0","384.5","384.1","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","384.5","100.0","0.05977833861891213","0.021976811143780105","0.037801527475132025","384.3200741142444","[0.0,0.0]","[0.0,0.0]","66.66666666666667","[-17.907711734693976,-5.555139577259495,-12.35257215743448]","[384.2322008319578,385.03220083195777,383.43220083195786]","100.0","""macd says BUY, klinger says SELL, cmo says SELL, ""","1765439399908","1"
"ASIANPAINT","2025-12-11T13:19:48+05:30","2785.4","2788.35","177.0","2790.45","2785.3","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2785.4","51.61290322580605","1.029413372179533","0.5197674717769578","0.5096459004025755","2787.6630604288503","[0.0,0.0]","[0.0,0.0]","11.78980906115314","[10.421545958264886,7.151657553643299,3.269888404621587]","[2786.4384126145696,2794.8161903923474,2778.060634836792]","3.225806451612092","""macd says BUY, crsi says BUY, klinger says BUY, ""","1765439699908","1"
"BHARTIARTL","2025-12-11T13:18:55+05:30","2052.1","2053.75","2574.0","2054.7","2052.1","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2052.1","67.88321167883221","0.9905200489997696","0.5550223043772665","0.4354977446225031","2052.105334694142","[0.0,0.0]","[0.0,0.0]","17.205955207805893","[-154.03978989331745,-36.52567607873991,-117.51411381457754]","[2051.203730482991,2057.4037304829913,2045.0037304829916]","35.76642335766443","""macd says BUY, crsi says BUY, rsi says SELL, klinger says SELL, cmo says SELL, ""","1765439699908","1"
"RELIANCE","2025-12-11T13:18:43+05:30","1545.7","1546.3","387.0","1547.0","1544.9","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1545.7","59.09090909091128","0.411872088183145","0.2173157784954257","0.19455630968771936","1546.0850387723008","[0.0,0.0]","[0.0,0.0]","23.603674266193035","[97.63320787214384,61.97340354623568,35.65980432590815]","[1545.683526525069,1549.7724154139578,1541.5946376361803]","18.181818181822567","""macd says BUY, crsi says BUY, klinger says BUY, rsi says SELL, ""","1765439699908","1"
"MARUTI","2025-12-11T13:19:14+05:30","82.4","82.4","0.0","82.4","82.4","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","82.4","0.0","0.002393162393161674","0.0004786324786323348","0.0019145299145293393","82.41486161251504","[0.0,0.0]","[0.0,0.0]","20.833333333333332","[21.995768807050055,11.406555302716168,10.589213504333888]","[82.41347087184411,82.44013753851078,82.38680420517744]","-100.0","""""","1765439699908","1"
"GRASIM","2025-12-11T13:18:37+05:30","2780.3","2774.95","8395.0","2780.3","2774.95","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2780.3","66.26984126984223","0.7825557480964562","0.28223149579905804","0.5003242522973982","2777.0969776386105","[0.0,0.0]","[0.0,0.0]","76.00092295110913","[346.11791088911184,123.53054064537466,222.5873702437372]","[2776.519926124387,2785.607426124387,2767.432426124387]","32.539682539684485","""macd says BUY, klinger says BUY, rsi says SELL, crsi says SELL, cmo says SELL, ""","1765439699908","1"
"WIPRO","2025-12-11T13:19:54+05:30","258.85","259.0","746.0","259.1","258.85","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","258.85","42.85714285714518","0.04639064823959416","0.024627284075089777","0.021763364164504383","258.95504340704343","[0.0,0.0]","[0.0,0.0]","18.124810927494277","[116.55246641147386,57.05589411284775,59.496572298626106]","[258.95733141702885,259.60177586147324,258.31288697258447]","-14.285714285709645","""macd says BUY, rsi says BUY, crsi says BUY, klinger says BUY, ""","1765439699908","1"
"NESTLEIND","2025-12-11T13:18:24+05:30","1217.3","1218.2","169.0","1218.75","1217.25","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1217.3","51.80722891566087","0.3701580593442486","0.1639819096043143","0.2061761497399343","1217.453719754424","[0.0,0.0]","[0.0,0.0]","40.77916953033404","[14.010444342070102,5.478084864525393,8.53235947754471]","[1217.3526555352453,1220.5401555352455,1214.165155535245]","3.6144578313217366","""macd says BUY, klinger says BUY, ""","1765439699908","1"
"ICICIBANK","2025-12-11T13:18:52+05:30","1358.0","1359.0","1117.0","1359.55","1358.0","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1358.0","31.70731707317033","0.3007282851567652","0.1430368205090231","0.15769146464774209","1359.0504226811013","[0.0,0.0]","[0.0,0.0]","53.04826610852893","[91.48840995157911,0.9675876619576992,90.52082228962142]","[1358.925235382137,1362.4807909376927,1355.3696798265814]","-36.58536585365935","""macd says BUY, rsi says BUY, klinger says BUY, cmo says BUY, ""","1765439699908","1"
"HDFCBANK","2025-12-11T13:18:49+05:30","998.3","997.95","1275.0","998.5","997.55","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","998.3","67.56756756756674","0.1622773832805251","0.07589118833331122","0.08638619494721388","997.778389322518","[0.0,0.0]","[0.0,0.0]","78.03300353952649","[398.23850308999454,163.81990408601416,234.4185990039804]","[997.7437136466672,1000.6326025355564,994.8548247577784]","35.135135135133474","""macd says BUY, klinger says BUY, rsi says SELL, crsi says SELL, cmo says SELL, ""","1765439699908","1"
"NTPC","2025-12-11T13:19:42+05:30","322.4","322.8","283.0","322.8","322.3","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","322.4","51.351351351350104","0.1649568564562287","0.09587065447467812","0.06908620198155059","322.4418398268398","[0.0,0.0]","[0.0,0.0]","27.95731336012591","[45.607704266875686,29.184134321130102,16.42356994574558]","[322.43931299200193,323.5837574364464,321.2948685475575]","2.7027027027002113","""macd says BUY, klinger says BUY, ""","1765439699908","1"
"ITC","2025-12-11T13:19:01+05:30","401.75","401.9","1337.0","402.3","401.7","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","401.75","54.05405405405338","0.18892517573789291","0.11122892553584868","0.07769625020204422","401.75098327015706","[0.0,0.0]","[0.0,0.0]","17.276601772678102","[1038.7210135533787,559.9499821992481,478.7710313541306]","[401.7666605417861,403.0666605417861,400.4666605417861]","8.10810810810678","""macd says BUY, crsi says BUY, klinger says BUY, ""","1765439699908","1"
